Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/1/16, 04:06:11.048, 2041.8, 2042.0, 2041.4, 2041.4, 145, 113, 82, 63
2024/1/16, 04:06:50.934, 2041.3, 2041.8, 2041.2, 2041.8, 146, 122, 65, 81
2024/1/16, 04:07:41.006, 2041.9, 2042.4, 2041.8, 2041.8, 173, 132, 88, 85
2024/1/16, 04:09:15.359, 2041.7, 2041.9, 2041.3, 2041.3, 81, 64, 41, 40
2024/1/16, 04:10:15.214, 2041.2, 2041.4, 2040.8, 2040.8, 53, 46, 35, 18
2024/1/16, 04:10:49.051, 2040.7, 2040.9, 2040.3, 2040.3, 134, 111, 69, 65
2024/1/16, 04:11:29.474, 2040.2, 2040.3, 2039.7, 2039.7, 287, 239, 154, 133
2024/1/16, 04:12:03.718, 2039.6, 2039.8, 2039.2, 2039.8, 308, 199, 95, 213
2024/1/16, 04:12:20.903, 2039.9, 2040.2, 2039.6, 2039.6, 148, 112, 97, 51
2024/1/16, 04:12:54.784, 2039.5, 2039.6, 2039.0, 2039.0, 289, 185, 144, 145
2024/1/16, 04:13:14.293, 2038.9, 2039.0, 2038.4, 2039.0, 423, 296, 172, 251
2024/1/16, 04:13:36.520, 2039.1, 2039.3, 2038.7, 2038.7, 217, 126, 142, 75
2024/1/16, 04:13:43.600, 2038.6, 2039.2, 2038.6, 2039.2, 45, 30, 6, 39
2024/1/16, 04:13:53.951, 2039.3, 2039.4, 2038.8, 2038.8, 65, 53, 52, 13
2024/1/16, 04:13:56.266, 2038.7, 2038.8, 2038.2, 2038.2, 375, 234, 178, 197
2024/1/16, 04:14:09.060, 2038.1, 2038.1, 2037.5, 2037.5, 480, 326, 313, 167
2024/1/16, 04:14:13.337, 2037.4, 2037.5, 2036.9, 2036.9, 180, 124, 105, 75
2024/1/16, 04:14:14.412, 2036.8, 2036.8, 2036.2, 2036.8, 654, 378, 247, 407
2024/1/16, 04:14:16.086, 2036.9, 2037.1, 2036.5, 2037.1, 359, 284, 157, 202
2024/1/16, 04:14:31.330, 2037.2, 2037.6, 2037.0, 2037.0, 249, 182, 132, 117
2024/1/16, 04:14:50.919, 2036.9, 2037.0, 2036.4, 2036.4, 175, 93, 145, 30
2024/1/16, 04:14:51.041, 2036.3, 2036.4, 2035.8, 2035.8, 166, 114, 117, 49
2024/1/16, 04:14:51.973, 2035.7, 2035.7, 2035.1, 2035.1, 144, 99, 144, 0
2024/1/16, 04:14:51.973, 2035.0, 2035.4, 2034.8, 2035.4, 89, 63, 88, 1
2024/1/16, 04:14:51.977, 2035.6, 2035.9, 2035.3, 2035.9, 205, 180, 97, 108
2024/1/16, 04:14:52.421, 2036.0, 2036.1, 2035.5, 2035.5, 74, 59, 58, 16
2024/1/16, 04:14:52.997, 2035.4, 2035.5, 2034.9, 2034.9, 68, 54, 47, 21
2024/1/16, 04:14:53.054, 2034.8, 2035.2, 2034.6, 2035.2, 514, 210, 87, 427
2024/1/16, 04:14:53.378, 2035.3, 2035.9, 2035.3, 2035.9, 233, 189, 60, 173
2024/1/16, 04:15:00.363, 2036.0, 2036.3, 2035.7, 2035.7, 227, 163, 144, 83
2024/1/16, 04:15:10.075, 2035.6, 2036.0, 2035.4, 2036.0, 169, 133, 58, 111
2024/1/16, 04:15:22.015, 2036.1, 2036.5, 2035.9, 2036.5, 150, 117, 45, 105
2024/1/16, 04:15:29.727, 2036.6, 2036.9, 2036.3, 2036.9, 286, 209, 99, 187
2024/1/16, 04:15:56.461, 2037.0, 2037.0, 2036.4, 2036.4, 208, 136, 117, 91
2024/1/16, 04:16:10.152, 2036.3, 2036.6, 2036.0, 2036.0, 206, 118, 99, 107
2024/1/16, 04:16:19.529, 2035.9, 2036.5, 2035.9, 2035.9, 263, 200, 83, 180
2024/1/16, 04:16:54.944, 2035.8, 2036.2, 2035.6, 2035.6, 187, 106, 133, 54
2024/1/16, 04:17:12.826, 2035.5, 2035.6, 2035.0, 2035.0, 88, 54, 66, 22
2024/1/16, 04:17:13.155, 2034.9, 2035.4, 2034.8, 2035.4, 110, 81, 19, 91
2024/1/16, 04:17:14.250, 2035.5, 2035.9, 2035.3, 2035.9, 167, 143, 66, 101
2024/1/16, 04:17:29.094, 2036.0, 2036.3, 2035.7, 2036.3, 142, 110, 54, 88
2024/1/16, 04:17:55.508, 2036.4, 2036.4, 2035.8, 2035.8, 152, 132, 86, 66
2024/1/16, 04:18:22.240, 2035.7, 2036.3, 2035.7, 2036.3, 128, 99, 44, 84
2024/1/16, 04:18:38.579, 2036.4, 2036.6, 2036.0, 2036.0, 153, 103, 89, 64
2024/1/16, 04:18:56.335, 2035.9, 2036.4, 2035.8, 2036.4, 225, 169, 91, 134
2024/1/16, 04:19:20.773, 2036.5, 2036.9, 2036.3, 2036.9, 318, 249, 130, 188
2024/1/16, 04:19:47.538, 2037.0, 2037.0, 2036.4, 2036.4, 96, 78, 58, 38
2024/1/16, 04:19:58.239, 2036.3, 2036.9, 2036.3, 2036.9, 69, 61, 18, 51
2024/1/16, 04:20:01.359, 2037.0, 2037.2, 2036.6, 2036.6, 81, 67, 41, 40
2024/1/16, 04:20:04.387, 2036.5, 2037.0, 2036.4, 2036.4, 186, 161, 77, 109
2024/1/16, 04:20:34.966, 2036.3, 2036.7, 2036.1, 2036.7, 220, 194, 98, 122
2024/1/16, 04:21:16.331, 2036.8, 2036.9, 2036.3, 2036.3, 67, 57, 34, 33
2024/1/16, 04:21:31.108, 2036.2, 2036.5, 2035.9, 2035.9, 82, 71, 55, 27
2024/1/16, 04:21:46.222, 2035.8, 2035.9, 2035.3, 2035.3, 226, 197, 148, 78
2024/1/16, 04:22:18.611, 2035.2, 2035.3, 2034.7, 2035.3, 254, 216, 151, 103
2024/1/16, 04:22:38.112, 2035.4, 2035.6, 2035.0, 2035.0, 477, 418, 244, 233
2024/1/16, 04:24:03.427, 2034.9, 2035.4, 2034.8, 2035.4, 117, 108, 39, 78
2024/1/16, 04:24:29.300, 2035.5, 2035.7, 2035.1, 2035.7, 329, 282, 144, 185
2024/1/16, 04:25:31.109, 2035.8, 2036.0, 2035.4, 2036.0, 228, 162, 128, 100
2024/1/16, 04:26:02.412, 2036.1, 2036.2, 2035.6, 2035.6, 185, 133, 119, 66
2024/1/16, 04:26:29.358, 2035.5, 2035.9, 2035.3, 2035.3, 202, 157, 114, 88
2024/1/16, 04:27:25.433, 2035.2, 2035.7, 2035.1, 2035.7, 723, 479, 362, 361
2024/1/16, 04:29:48.570, 2035.8, 2036.1, 2035.5, 2036.1, 85, 64, 15, 70
2024/1/16, 04:30:00, 2036.2, 2036.8, 2036.2, 2036.8, 45, 39, 0, 45
2024/1/16, 04:30:00, 2036.9, 2037.1, 2036.5, 2037.1, 48, 34, 6, 42
